co1o12 40 50 o1 o12
co2o13 150 160 o2 o13
co3o14 50 120 o3 o14
co4o14 40 110 o4 o14
co5o15 110 310 o5 o15
co6o16 80 240 o6 o16
co7o16 130 230 o7 o16
co8o17 90 240 o8 o17
co9o17 210 230 o9 o17
co10o18 20 70 o10 o18
co11o19 200 250 o11 o19
co12o20 80 210 o12 o20
co13o20 200 220 o13 o20
co14o21 190 200 o14 o21
co15o22 330 340 o15 o22
co16o23 280 290 o16 o23
co17o23 270 280 o17 o23
co18o24 80 290 o18 o24
co19o24 290 300 o19 o24
co20o25 260 310 o20 o25
co21o25 230 300 o21 o25
co22o26 360 370 o22 o26
co23o26 320 360 o23 o26
co24o27 340 400 o24 o27
co25o28 380 390 o25 o28
co26o28 390 400 o26 o28
co28o29 450 460 o28 o29
co27o29 440 450 o27 o29
co29o30 480 490 o29 o30
o1 0 0 40 50 d1
o2 120 120 150 160 d2
o3 0 0 50 60 d2
o4 0 0 40 50 d3
o5 90 90 110 120 d2
o6 50 50 80 90 d3
o7 90 90 130 140 d4
o8 50 50 90 100 d1
o9 160 160 210 220 d2
o10 0 0 20 30 d4
o11 140 140 200 210 d4
o12 40 50 80 90 d4
o13 150 160 200 210 d3
o14 100 120 190 200 d1
o15 300 310 330 340 d3
o16 220 240 280 290 d2
o17 220 240 270 280 d4
o18 60 70 80 90 d2
o19 240 250 290 300 d5
o20 200 220 260 270 d1
o21 190 200 230 240 d5
o22 330 340 360 370 d1
o23 270 290 320 330 d1
o24 280 300 340 350 d4
o25 290 310 380 390 d2
o26 350 370 390 400 d4
o27 390 400 440 450 d2
o28 380 400 450 460 d1
o29 410 460 480 490 d4
o30 332 490 510 510 d5
