co1o12 60 70 o1 o12
co2o13 30 60 o2 o13
co3o14 50 60 o3 o14
co4o14 40 50 o4 o14
co5o15 330 340 o5 o15
co6o16 250 260 o6 o16
co7o16 240 250 o7 o16
co8o17 180 190 o8 o17
co9o17 120 150 o9 o17
co10o18 490 500 o10 o18
co11o19 410 420 o11 o19
co12o20 130 140 o12 o20
co13o20 140 150 o13 o20
co14o21 130 140 o14 o21
co15o22 420 430 o15 o22
co16o23 300 310 o16 o23
co17o23 230 260 o17 o23
co18o24 510 520 o18 o24
co19o24 500 510 o19 o24
co20o25 190 200 o20 o25
co21o25 200 210 o21 o25
co22o26 450 460 o22 o26
co23o26 340 350 o23 o26
co24o27 560 570 o24 o27
co25o28 460 470 o25 o28
co26o28 480 490 o26 o28
co28o29 570 580 o28 o29
co27o29 610 620 o27 o29
co29o30 640 650 o29 o30
o1 0 0 40 70 d1
o2 0 0 30 40 d4
o3 0 0 50 60 d2
o4 0 0 40 50 d3
o5 310 310 330 340 d4
o6 220 220 250 260 d3
o7 200 200 240 250 d1
o8 140 140 180 190 d2
o9 70 70 120 130 d1
o10 470 470 490 500 d2
o11 350 350 410 420 d1
o12 60 100 130 140 d2
o13 50 60 100 220 d3
o14 40 60 130 140 d4
o15 260 400 420 430 d3
o16 240 260 300 310 d4
o17 140 190 220 240 d4
o18 490 500 510 520 d4
o19 410 460 500 510 d5
o20 130 150 190 200 d1
o21 0 140 170 210 d5
o22 420 430 450 460 d1
o23 250 310 340 350 d1
o24 500 520 560 570 d2
o25 190 210 280 470 d2
o26 340 460 480 490 d4
o27 560 570 610 620 d4
o28 460 490 540 10000 d1
o29 570 620 640 650 d2
o30 510 650 670 670 d5
