co1o2 40 50 o1 o2
co1o3 40 110 o1 o3
co2o4 90 100 o2 o4
co2o5 90 160 o2 o5
co3o6 150 330 o3 o6
co3o7 150 160 o3 o7
co4o8 140 220 o4 o8
co4o9 140 170 o4 o9
co5o10 200 230 o5 o10
co5o11 200 290 o5 o11
co6o12 370 410 o6 o12
co6o13 370 400 o6 o13
co7o14 200 220 o7 o14
co7o15 200 650 o7 o15
co8o16 290 530 o8 o16
co9o17 210 280 o9 o17
co10o18 270 460 o10 o18
co11o19 330 340 o11 o19
co12o20 450 520 o12 o20
co13o21 440 750 o13 o21
co14o22 260 390 o14 o22
co15o23 690 700 o15 o23
co16o24 570 580 o16 o24
co17o25 320 350 o17 o25
co18o26 500 510 o18 o26
co19o27 380 470 o19 o27
co20o28 560 570 o20 o28
co21o29 790 940 o21 o29
co22o30 430 590 o22 o30
co23o31 740 860 o23 o31
co24o32 620 690 o24 o32
co25o33 390 450 o25 o33
co26o34 550 800 o26 o34
co27o35 510 630 o27 o35
co28o36 610 820 o28 o36
co29o37 980 990 o29 o37
co30o38 630 760 o30 o38
co31o39 900 930 o31 o39
co32o40 730 880 o32 o40
co33o41 490 640 o33 o41
co34o42 840 870 o34 o42
co35o43 670 710 o35 o43
co36o44 860 920 o36 o44
co37o45 1030 1040 o37 o45
co38o46 800 810 o38 o46
co39o47 970 980 o39 o47
co40o48 920 1010 o40 o48
co41o49 680 690 o41 o49
co42o50 910 920 o42 o50
co43o51 750 850 o43 o51
co44o52 960 1010 o44 o52
co45o53 1080 1090 o45 o53
co46o54 850 930 o46 o54
co47o55 1020 1090 o47 o55
o1 0 0 40 90 d2
o2 40 50 90 100 d5
o3 100 110 150 160 d5
o4 90 100 140 150 d2
o5 150 160 200 210 d2
o6 320 330 370 380 d1
o7 90 160 200 210 d1
o8 210 220 290 300 d1
o9 160 170 210 220 d5
o10 220 230 270 280 d5
o11 280 290 330 340 d5
o12 400 410 450 460 d5
o13 390 400 440 450 d2
o14 210 220 260 270 d2
o15 640 650 690 700 d5
o16 520 530 570 580 d5
o17 270 280 320 330 d2
o18 450 460 500 510 d2
o19 330 340 380 390 d2
o20 510 520 560 570 d2
o21 740 750 790 800 d1
o22 380 390 430 440 d1
o23 690 700 740 750 d2
o24 570 580 620 630 d2
o25 340 350 390 400 d5
o26 500 510 550 560 d1
o27 460 470 510 520 d5
o28 560 570 610 620 d1
o29 930 940 980 1000 d2
o30 580 590 630 640 d5
o31 850 860 900 910 d5
o32 680 690 730 740 d1
o33 440 450 490 500 d1
o34 790 800 840 850 d5
o35 620 630 670 680 d1
o36 810 820 860 870 d2
o37 980 990 1030 1050 d1
o38 750 760 800 810 d2
o39 920 930 970 980 d1
o40 870 880 920 930 d2
o41 630 640 680 690 d2
o42 860 870 910 920 d1
o43 700 710 750 760 d5
o44 910 920 960 970 d5
o45 1030 1040 1080 1100 d5
o46 800 810 850 860 d1
o47 970 980 1020 1030 d5
o48 1000 1010 1080 1080 d3
o49 420 690 760 760 d4
o50 910 920 990 990 d4
o51 840 850 920 920 d3
o52 1000 1010 1080 1080 d4
o53 1080 1090 1160 1160 d4
o54 920 930 1000 1000 d3
o55 1080 1090 1160 1160 d3
