co1o2 40 50 o1 o2
co1o3 40 50 o1 o3
co2o4 90 100 o2 o4
co2o5 130 380 o2 o5
co3o6 180 190 o3 o6
co3o7 180 250 o3 o7
co4o8 170 210 o4 o8
co4o9 140 150 o4 o9
co5o10 420 480 o5 o10
co5o11 420 430 o5 o11
co6o12 230 320 o6 o12
co6o13 230 260 o6 o13
co7o14 290 360 o7 o14
co7o15 290 300 o7 o15
co8o16 280 550 o8 o16
co9o17 190 200 o9 o17
co10o18 520 610 o10 o18
co11o19 470 540 o11 o19
co12o20 360 490 o12 o20
co13o21 300 420 o13 o21
co14o22 400 440 o14 o22
co15o23 340 370 o15 o23
co16o24 590 660 o16 o24
co17o25 240 310 o17 o25
co18o26 650 920 o18 o26
co19o27 580 620 o19 o27
co20o28 530 790 o20 o28
co21o29 460 680 o21 o29
co22o30 480 730 o22 o30
co23o31 410 560 o23 o31
co24o32 710 970 o24 o32
co25o33 350 500 o25 o33
co26o34 960 970 o26 o34
co27o35 660 670 o27 o35
co28o36 830 860 o28 o36
co29o37 720 850 o29 o37
co30o38 770 800 o30 o38
co31o39 600 730 o31 o39
co32o40 1020 1030 o32 o40
co33o41 540 600 o33 o41
co34o42 1010 1020 o34 o42
co35o43 710 740 o35 o43
co36o44 900 910 o36 o44
co37o45 890 910 o37 o45
co38o46 840 850 o38 o46
co39o47 770 790 o39 o47
co40o48 1070 1080 o40 o48
co41o49 640 650 o41 o49
co42o50 1070 1080 o42 o50
co43o51 780 790 o43 o51
co44o52 950 980 o44 o52
co45o53 950 960 o45 o53
co46o54 890 900 o46 o54
co47o55 830 840 o47 o55
o1 0 0 40 50 d2
o2 0 50 90 140 d1
o3 0 50 90 190 d5
o4 50 100 140 180 d2
o5 370 380 420 430 d5
o6 180 190 230 240 d2
o7 240 250 290 300 d2
o8 200 210 280 290 d1
o9 140 150 190 200 d1
o10 470 480 520 530 d1
o11 420 430 470 480 d2
o12 310 320 360 370 d5
o13 250 260 300 310 d5
o14 350 360 400 410 d1
o15 290 300 340 350 d1
o16 540 550 590 600 d2
o17 190 200 240 250 d5
o18 600 610 650 660 d2
o19 530 540 580 590 d1
o20 480 490 530 540 d2
o21 410 420 460 470 d1
o22 430 440 480 490 d5
o23 360 370 410 420 d2
o24 650 660 700 720 d1
o25 300 310 350 360 d2
o26 910 920 960 970 d5
o27 610 620 660 670 d5
o28 780 790 830 840 d1
o29 670 680 720 730 d5
o30 720 730 770 780 d2
o31 550 560 600 610 d5
o32 960 980 1020 1030 d2
o33 490 500 540 550 d5
o34 960 970 1010 1020 d1
o35 660 670 710 720 d2
o36 850 860 900 910 d5
o37 840 850 890 900 d1
o38 790 800 840 850 d5
o39 720 730 770 780 d1
o40 1020 1030 1070 10000 d1
o41 590 600 640 650 d1
o42 970 1020 1060 10000 d5
o43 730 740 780 790 d5
o44 900 910 950 960 d1
o45 900 910 950 960 d2
o46 840 850 890 900 d2
o47 780 790 830 840 d2
o48 1030 1080 1150 1150 d4
o49 0 650 720 720 d4
o50 1050 1080 1150 1150 d3
o51 0 820 890 890 d3
o52 970 980 1050 1050 d3
o53 910 960 1030 1030 d4
o54 890 900 970 970 d3
o55 830 840 910 910 d4
