co1o2 40 50 o1 o2
co1o3 40 50 o1 o3
co2o4 90 100 o2 o4
co2o5 150 160 o2 o5
co3o6 160 170 o3 o6
co3o7 210 330 o3 o7
co4o8 140 150 o4 o8
co4o9 140 150 o4 o9
co5o10 200 240 o5 o10
co5o11 200 300 o5 o11
co6o12 210 220 o6 o12
co6o13 250 280 o6 o13
co7o14 370 420 o7 o14
co7o15 370 380 o7 o15
co8o16 220 230 o8 o16
co9o17 200 220 o9 o17
co10o18 280 290 o10 o18
co11o19 400 410 o11 o19
co12o20 260 270 o12 o20
co13o21 360 400 o13 o21
co14o22 560 570 o14 o22
co15o23 560 580 o15 o23
co16o24 270 280 o16 o24
co17o25 260 350 o17 o25
co18o26 330 340 o18 o26
co19o27 450 520 o19 o27
co20o28 310 700 o20 o28
co21o29 440 450 o21 o29
co22o30 610 650 o22 o30
co23o31 620 630 o23 o31
co24o32 320 510 o24 o32
co25o33 390 460 o25 o33
co26o34 380 390 o26 o34
co27o35 560 590 o27 o35
co28o36 740 750 o28 o36
co29o37 490 640 o29 o37
co30o38 730 750 o30 o38
co31o39 670 760 o31 o39
co32o40 550 820 o32 o40
co33o41 500 530 o33 o41
co34o42 430 470 o34 o42
co35o43 630 1030 o35 o43
co36o44 790 810 o36 o44
co37o45 680 690 o37 o45
co38o46 790 810 o38 o46
co39o47 800 870 o39 o47
co40o48 920 1010 o40 o48
co41o49 570 580 o41 o49
co42o50 510 580 o42 o50
co43o51 1070 1080 o43 o51
co44o52 850 860 o44 o52
co45o53 730 740 o45 o53
co46o54 850 880 o46 o54
co47o55 910 950 o47 o55
co48o56 1180 1190 o48 o56
co49o57 720 1040 o49 o57
co50o58 840 930 o50 o58
co51o59 1230 1240 o51 o59
co52o60 930 940 o52 o60
co53o61 860 870 o53 o61
co54o62 990 1000 o54 o62
co55o63 1060 1090 o55 o63
co56o64 1230 1240 o56 o64
co57o65 1130 1140 o57 o65
co58o66 970 980 o58 o66
co57o67 1180 1190 o57 o67
co60o68 980 990 o60 o68
co61o69 910 930 o61 o69
co62o70 1120 1140 o62 o70
o1 0 0 40 50 d2
o2 0 50 90 160 d5
o3 0 120 160 220 d1
o4 50 100 140 150 d2
o5 150 160 200 210 d2
o6 160 170 210 260 d5
o7 320 330 370 380 d5
o8 0 150 220 230 d3
o9 0 160 200 210 d4
o10 230 240 280 290 d3
o11 290 300 340 410 d3
o12 210 220 260 270 d4
o13 270 320 360 370 d4
o14 410 520 560 570 d3
o15 370 520 560 570 d4
o16 220 230 270 280 d1
o17 210 220 260 270 d2
o18 280 290 330 340 d1
o19 400 410 450 460 d1
o20 260 270 310 320 d5
o21 390 400 440 450 d2
o22 560 570 610 620 d5
o23 570 580 620 630 d2
o24 270 280 320 330 d2
o25 340 350 390 400 d1
o26 330 340 380 390 d2
o27 510 520 560 570 d2
o28 690 700 740 750 d2
o29 440 450 490 500 d5
o30 640 650 690 740 d1
o31 620 630 670 680 d5
o32 500 510 550 560 d5
o33 450 460 500 510 d2
o34 380 390 430 440 d5
o35 580 590 630 640 d1
o36 740 750 790 800 d1
o37 630 640 680 690 d2
o38 740 750 790 800 d5
o39 750 760 800 810 d2
o40 810 880 920 930 d2
o41 520 530 570 580 d1
o42 460 470 510 520 d1
o43 1020 1030 1070 1080 d5
o44 800 810 850 860 d5
o45 680 690 730 740 d5
o46 800 810 850 860 d1
o47 860 870 910 920 d5
o48 1000 1110 1180 1190 d3
o49 570 580 650 730 d3
o50 570 770 840 850 d4
o51 1070 1160 1230 1240 d4
o52 850 860 930 940 d4
o53 730 790 860 870 d3
o54 870 920 990 1000 d3
o55 940 990 1060 1070 d4
o56 1180 1190 1230 1240 d5
o57 1030 1090 1130 1190 d1
o58 920 930 970 980 d1
o59 1230 1240 1280 1280 d2
o60 930 940 980 990 d2
o61 860 870 910 920 d1
o62 990 1080 1120 1130 d2
o63 1080 1090 1130 1130 d5
o64 1190 1240 1280 1280 d1
o65 1130 1140 1180 1180 d2
o66 970 980 1020 1020 d5
o67 1180 1190 1230 1230 d2
o68 980 990 1030 1030 d1
o69 920 930 970 970 d5
o70 1130 1140 1180 1180 d5
