co1o2 40 50 o1 o2
co1o3 40 50 o1 o3
co2o4 90 100 o2 o4
co2o5 150 160 o2 o5
co3o6 170 180 o3 o6
co3o7 210 340 o3 o7
co4o8 140 150 o4 o8
co4o9 140 150 o4 o9
co5o10 210 240 o5 o10
co5o11 210 300 o5 o11
co6o12 220 230 o6 o12
co6o13 260 290 o6 o13
co7o14 380 390 o7 o14
co7o15 380 390 o7 o15
co8o16 220 230 o8 o16
co9o17 210 230 o9 o17
co10o18 280 290 o10 o18
co11o19 370 410 o11 o19
co12o20 270 280 o12 o20
co13o21 370 410 o13 o21
co14o22 570 580 o14 o22
co15o23 570 590 o15 o23
co16o24 270 290 o16 o24
co17o25 270 350 o17 o25
co18o26 330 350 o18 o26
co19o27 450 530 o19 o27
co20o28 320 650 o20 o28
co21o29 450 460 o21 o29
co22o30 620 650 o22 o30
co23o31 630 640 o23 o31
co24o32 330 520 o24 o32
co25o33 390 470 o25 o33
co26o34 390 400 o26 o34
co27o35 570 590 o27 o35
co28o36 690 710 o28 o36
co29o37 500 710 o29 o37
co30o38 690 700 o30 o38
co31o39 680 830 o31 o39
co32o40 560 960 o32 o40
co33o41 510 530 o33 o41
co34o42 440 470 o34 o42
co35o43 630 990 o35 o43
co36o44 750 770 o36 o44
co37o45 750 760 o37 o45
co38o46 740 830 o38 o46
co39o47 870 880 o39 o47
co40o48 1030 1060 o40 o48
co41o49 570 590 o41 o49
co42o50 510 590 o42 o50
co43o51 1030 1060 o43 o51
co44o52 810 820 o44 o52
co45o53 800 810 o45 o53
co46o54 870 900 o46 o54
co47o55 920 930 o47 o55
co48o56 1140 1150 o48 o56
co49o57 790 1000 o49 o57
co50o58 760 770 o50 o58
co51o59 1200 1210 o51 o59
co52o60 890 900 o52 o60
co53o61 880 890 o53 o61
co54o62 1040 1050 o54 o62
co55o63 1040 1050 o55 o63
co56o64 1200 1210 o56 o64
co57o65 1100 1110 o57 o65
co58o66 810 820 o58 o66
co57o67 1150 1160 o57 o67
co60o68 940 950 o60 o68
co61o69 930 940 o61 o69
co62o70 1090 1100 o62 o70
o1 0 0 40 50 d2
o2 0 50 90 160 d5
o3 0 130 170 220 d1
o4 50 100 140 150 d2
o5 150 170 210 220 d2
o6 160 180 220 270 d5
o7 330 340 380 390 d5
o8 0 150 220 230 d3
o9 0 170 210 220 d4
o10 230 240 280 290 d3
o11 290 330 370 380 d3
o12 220 230 270 280 d4
o13 280 330 370 380 d4
o14 380 390 430 580 d3
o15 380 530 570 580 d4
o16 220 230 270 280 d1
o17 220 230 270 280 d2
o18 280 290 330 340 d1
o19 400 410 450 460 d1
o20 270 280 320 330 d5
o21 400 410 450 460 d2
o22 570 580 620 630 d5
o23 580 590 630 640 d2
o24 280 290 330 340 d2
o25 340 350 390 400 d1
o26 340 350 390 400 d2
o27 520 530 570 580 d2
o28 640 650 690 700 d2
o29 450 460 500 510 d5
o30 640 650 690 700 d1
o31 630 640 680 690 d5
o32 510 520 560 570 d5
o33 460 470 510 520 d2
o34 390 400 440 450 d5
o35 580 590 630 640 d1
o36 700 710 750 760 d1
o37 700 710 750 760 d2
o38 690 700 740 750 d5
o39 820 830 870 880 d2
o40 950 990 1030 1040 d2
o41 520 530 570 580 d1
o42 460 470 510 520 d1
o43 980 990 1030 1040 d5
o44 760 770 810 820 d2
o45 750 760 800 810 d5
o46 820 830 870 880 d1
o47 860 880 920 930 d5
o48 1050 1070 1140 10000 d3
o49 580 590 660 800 d3
o50 580 690 760 770 d4
o51 1050 1130 1200 1210 d4
o52 810 820 890 920 d4
o53 800 810 880 890 d3
o54 890 900 970 1050 d3
o55 920 970 1040 1050 d4
o56 1140 1150 1190 10000 d5
o57 990 1060 1100 1160 d1
o58 760 770 810 820 d1
o59 1200 1210 1250 1250 d2
o60 890 900 940 950 d2
o61 880 890 930 940 d1
o62 1040 1050 1090 1100 d2
o63 1040 1050 1090 1090 d5
o64 1160 1210 1250 1250 d1
o65 1100 1110 1150 1150 d2
o66 810 820 860 860 d5
o67 1150 1160 1200 1200 d2
o68 940 950 990 990 d1
o69 930 940 980 980 d5
o70 1090 1100 1140 1140 d5
