co1o2 40 50 o1 o2
co1o3 40 50 o1 o3
co2o4 90 100 o2 o4
co2o5 120 250 o2 o5
co3o6 130 140 o3 o6
co3o7 130 240 o3 o7
co4o8 170 210 o4 o8
co4o9 140 150 o4 o9
co5o10 290 420 o5 o10
co5o11 290 300 o5 o11
co6o12 220 310 o6 o12
co6o13 180 190 o6 o13
co7o14 280 360 o7 o14
co7o15 280 300 o7 o15
co8o16 280 600 o8 o16
co9o17 190 370 o9 o17
co10o18 460 540 o10 o18
co11o19 340 480 o11 o19
co12o20 350 420 o12 o20
co13o21 230 540 o13 o21
co14o22 400 430 o14 o22
co15o23 340 360 o15 o23
co16o24 640 780 o16 o24
co17o25 410 480 o17 o25
co18o26 580 850 o18 o26
co19o27 520 610 o19 o27
co20o28 460 840 o20 o28
co21o29 580 670 o21 o29
co22o30 470 720 o22 o30
co23o31 400 490 o23 o31
co24o32 820 960 o24 o32
co25o33 520 550 o25 o33
co26o34 890 900 o26 o34
co27o35 650 660 o27 o35
co28o36 880 910 o28 o36
co29o37 710 720 o29 o37
co30o38 760 790 o30 o38
co31o39 530 660 o31 o39
co32o40 1030 1040 o32 o40
co33o41 590 600 o33 o41
co34o42 940 970 o34 o42
co35o43 700 730 o35 o43
co36o44 950 960 o36 o44
co37o45 760 900 o37 o45
co38o46 830 840 o38 o46
co39o47 700 780 o39 o47
co40o48 1080 1090 o40 o48
co41o49 640 650 o41 o49
co42o50 1080 1090 o42 o50
co43o51 770 780 o43 o51
co44o52 1000 1010 o44 o52
co45o53 940 950 o45 o53
co46o54 880 890 o46 o54
co47o55 820 830 o47 o55
o1 0 0 40 50 d5
o2 0 50 90 130 d2
o3 40 50 90 140 d1
o4 50 100 140 180 d5
o5 240 250 290 300 d5
o6 130 140 180 230 d2
o7 230 240 280 290 d2
o8 200 210 280 290 d1
o9 140 150 190 200 d1
o10 410 420 460 470 d1
o11 290 300 340 350 d2
o12 300 310 350 360 d5
o13 180 190 230 240 d5
o14 350 360 400 410 d1
o15 290 300 340 350 d1
o16 590 600 640 650 d2
o17 360 370 410 420 d5
o18 530 540 580 590 d2
o19 470 480 520 530 d1
o20 410 420 460 470 d2
o21 530 540 580 590 d1
o22 420 430 470 480 d5
o23 350 360 400 410 d2
o24 770 780 820 830 d1
o25 470 480 520 530 d2
o26 840 850 890 900 d5
o27 600 610 650 660 d5
o28 830 840 880 890 d1
o29 660 670 710 720 d5
o30 710 720 760 770 d2
o31 480 490 530 540 d5
o32 950 990 1030 10000 d2
o33 540 550 590 600 d5
o34 890 900 940 950 d1
o35 650 660 700 710 d2
o36 900 910 950 960 d5
o37 710 720 760 770 d1
o38 780 790 830 840 d5
o39 650 660 700 710 d1
o40 1010 1040 1080 10000 d1
o41 590 600 640 650 d1
o42 960 1040 1080 1090 d5
o43 720 730 770 780 d5
o44 950 960 1000 1010 d1
o45 890 900 940 950 d2
o46 830 840 880 890 d2
o47 770 780 820 830 d2
o48 1080 1090 1160 1160 d3
o49 640 750 820 820 d3
o50 1080 1090 1160 1160 d4
o51 0 780 850 850 d4
o52 960 1010 1080 1080 d4
o53 900 950 1020 1020 d3
o54 880 890 960 960 d4
o55 820 830 900 900 d3
